*Nodes
0.003,-0.005,0
0.003,-0.0025,0
0.003,0,0
0.003,0.0025,0
0.003,0.005,0
0.0015,-0.005,0.00259807621135332
0.0015,-0.0025,0.00259807621135332
0.0015,0,0.00259807621135332
0.0015,0.0025,0.00259807621135332
0.0015,0.005,0.00259807621135332
-0.0015,-0.005,0.00259807621135332
-0.0015,-0.0025,0.00259807621135332
-0.0015,0,0.00259807621135332
-0.0015,0.0025,0.00259807621135332
-0.0015,0.005,0.00259807621135332
-0.003,-0.005,3.67394039744206e-19
-0.003,-0.0025,3.67394039744206e-19
-0.003,0,3.67394039744206e-19
-0.003,0.0025,3.67394039744206e-19
-0.003,0.005,3.67394039744206e-19
-0.0015,-0.005,-0.00259807621135332
-0.0015,-0.0025,-0.00259807621135332
-0.0015,0,-0.00259807621135332
-0.0015,0.0025,-0.00259807621135332
-0.0015,0.005,-0.00259807621135332
0.0015,-0.005,-0.00259807621135332
0.0015,-0.0025,-0.00259807621135332
0.0015,0,-0.00259807621135332
0.0015,0.0025,-0.00259807621135332
0.0015,0.005,-0.00259807621135332
*Triangles
7,6,11
9,14,10
13,8,12
22,21,26
24,19,23
30,29,4
16,17,12
27,22,26
6,2,1
12,11,16
17,16,21
18,13,17
23,19,18
8,3,7
7,11,12
13,9,8
2,6,7
2,7,3
10,5,9
4,3,8
9,5,4
15,10,14
19,15,14
12,8,7
9,4,8
17,13,12
14,9,13
13,18,14
20,19,24
15,19,20
25,24,29
25,29,30
28,3,29
28,24,23
25,20,24
30,4,5
29,3,4
24,28,29
23,22,27
18,22,23
17,21,22
22,18,17
19,14,18
28,27,2
28,23,27
27,26,1
28,2,3
27,1,2
